# Copyright (C) 1991-2015 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus II License Agreement,
# the Altera MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Altera and sold by Altera or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus II 64-Bit Version 15.0.0 Build 145 04/22/2015 SJ Web Edition
# File: C:\Users\Tippy\Documents\College\University of Illinois\Digital System Design (ECE 385)\PinLayout.csv
# Generated on: Tue Sep 13 08:51:27 2016

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
Ahex0[6],Output,PIN_H22,6,B6_N0,PIN_AC7,,,,,,
Ahex0[5],Output,PIN_J22,6,B6_N0,PIN_AE12,,,,,,
Ahex0[4],Output,PIN_L25,6,B6_N1,PIN_AD8,,,,,,
Ahex0[3],Output,PIN_L26,6,B6_N1,PIN_AE9,,,,,,
Ahex0[2],Output,PIN_E17,7,B7_N2,PIN_AH3,,,,,,
Ahex0[1],Output,PIN_F22,7,B7_N0,PIN_AF3,,,,,,
Ahex0[0],Output,PIN_G18,7,B7_N2,PIN_AD10,,,,,,
Ahex1[6],Output,PIN_U24,5,B5_N0,PIN_AB6,,,,,,
Ahex1[5],Output,PIN_U23,5,B5_N1,PIN_AE4,,,,,,
Ahex1[4],Output,PIN_W25,5,B5_N1,PIN_AG3,,,,,,
Ahex1[3],Output,PIN_W22,5,B5_N0,PIN_AB4,,,,,,
Ahex1[2],Output,PIN_W21,5,B5_N1,PIN_AC4,,,,,,
Ahex1[1],Output,PIN_Y22,5,B5_N0,PIN_AA7,,,,,,
Ahex1[0],Output,PIN_M24,6,B6_N2,PIN_Y7,,,,,,
Ahex2[6],Output,PIN_W28,5,B5_N1,PIN_AB9,,,,,,
Ahex2[5],Output,PIN_W27,5,B5_N1,PIN_AG8,,,,,,
Ahex2[4],Output,PIN_Y26,5,B5_N1,PIN_AA10,,,,,,
Ahex2[3],Output,PIN_W26,5,B5_N1,PIN_AG7,,,,,,
Ahex2[2],Output,PIN_Y25,5,B5_N1,PIN_AB8,,,,,,
Ahex2[1],Output,PIN_AA26,5,B5_N1,PIN_AE7,,,,,,
Ahex2[0],Output,PIN_AA25,5,B5_N1,PIN_AH8,,,,,,
Ahex3[6],Output,PIN_Y19,4,B4_N0,PIN_AD2,,,,,,
Ahex3[5],Output,PIN_AF23,4,B4_N0,PIN_U5,,,,,,
Ahex3[4],Output,PIN_AD24,4,B4_N0,PIN_U6,,,,,,
Ahex3[3],Output,PIN_AA21,4,B4_N0,PIN_AC3,,,,,,
Ahex3[2],Output,PIN_AB20,4,B4_N0,PIN_T8,,,,,,
Ahex3[1],Output,PIN_U21,5,B5_N0,PIN_AA3,,,,,,
Ahex3[0],Output,PIN_V21,5,B5_N1,PIN_AB1,,,,,,
Bhex0[6],Output,PIN_AE18,4,B4_N2,PIN_AE3,,,,,,
Bhex0[5],Output,PIN_AF19,4,B4_N1,PIN_AA4,,,,,,
Bhex0[4],Output,PIN_AE19,4,B4_N1,PIN_AD7,,,,,,
Bhex0[3],Output,PIN_AH21,4,B4_N2,PIN_AA6,,,,,,
Bhex0[2],Output,PIN_AG21,4,B4_N2,PIN_AA5,,,,,,
Bhex0[1],Output,PIN_AA19,4,B4_N0,PIN_V7,,,,,,
Bhex0[0],Output,PIN_AB19,4,B4_N0,PIN_AF2,,,,,,
Bhex1[6],Output,PIN_AH18,4,B4_N2,PIN_V1,,,,,,
Bhex1[5],Output,PIN_AF18,4,B4_N1,PIN_V4,,,,,,
Bhex1[4],Output,PIN_AG19,4,B4_N2,PIN_Y4,,,,,,
Bhex1[3],Output,PIN_AH19,4,B4_N2,PIN_AC2,,,,,,
Bhex1[2],Output,PIN_AB18,4,B4_N0,PIN_V2,,,,,,
Bhex1[1],Output,PIN_AC18,4,B4_N1,PIN_V3,,,,,,
Bhex1[0],Output,PIN_AD18,4,B4_N1,PIN_Y3,,,,,,
Bhex2[6],Output,PIN_AC17,4,B4_N2,PIN_AE11,,,,,,
Bhex2[5],Output,PIN_AA15,4,B4_N2,PIN_AF6,,,,,,
Bhex2[4],Output,PIN_AB15,4,B4_N2,PIN_AG6,,,,,,
Bhex2[3],Output,PIN_AB17,4,B4_N1,PIN_AC8,,,,,,
Bhex2[2],Output,PIN_AA16,4,B4_N2,PIN_AA8,,,,,,
Bhex2[1],Output,PIN_AB16,4,B4_N2,PIN_AH6,,,,,,
Bhex2[0],Output,PIN_AA17,4,B4_N1,PIN_AF8,,,,,,
Bhex3[6],Output,PIN_AA14,3,B3_N0,PIN_AD1,,,,,,
Bhex3[5],Output,PIN_AG18,4,B4_N2,PIN_AB2,,,,,,
Bhex3[4],Output,PIN_AF17,4,B4_N2,PIN_W1,,,,,,
Bhex3[3],Output,PIN_AH17,4,B4_N2,PIN_AB3,,,,,,
Bhex3[2],Output,PIN_AG17,4,B4_N2,PIN_W2,,,,,,
Bhex3[1],Output,PIN_AE17,4,B4_N2,PIN_AD3,,,,,,
Bhex3[0],Output,PIN_AD17,4,B4_N2,PIN_AC1,,,,,,
CO,Output,PIN_G16,7,B7_N2,PIN_AH10,,,,,,
Clk,Input,PIN_Y2,2,B2_N0,PIN_J1,,,,,,
LoadB,Input,PIN_M21,6,B6_N1,PIN_Y5,,,,,,
Reset,Input,PIN_M23,6,B6_N2,PIN_AC5,,,,,,
Run,Input,PIN_R24,5,B5_N0,PIN_AB5,,,,,,
SW[15],Input,PIN_AA22,5,B5_N2,PIN_W7,,,,,,
SW[14],Input,PIN_AA23,5,B5_N2,PIN_W8,,,,,,
SW[13],Input,PIN_AA24,5,B5_N2,PIN_AF12,,,,,,
SW[12],Input,PIN_AB23,5,B5_N2,PIN_AG10,,,,,,
SW[11],Input,PIN_AB24,5,B5_N2,PIN_AF9,,,,,,
SW[10],Input,PIN_AC24,5,B5_N2,PIN_W4,,,,,,
SW[9],Input,PIN_AB25,5,B5_N1,PIN_AH7,,,,,,
SW[8],Input,PIN_AC25,5,B5_N2,PIN_AB7,,,,,,
SW[7],Input,PIN_AB26,5,B5_N1,PIN_V8,,,,,,
SW[6],Input,PIN_AD26,5,B5_N2,PIN_V5,,,,,,
SW[5],Input,PIN_AC26,5,B5_N2,PIN_V6,,,,,,
SW[4],Input,PIN_AB27,5,B5_N1,PIN_U8,,,,,,
SW[3],Input,PIN_AD27,5,B5_N2,PIN_AE1,,,,,,
SW[2],Input,PIN_AC27,5,B5_N2,PIN_AF7,,,,,,
SW[1],Input,PIN_AC28,5,B5_N2,PIN_U7,,,,,,
SW[0],Input,PIN_AB28,5,B5_N1,PIN_AE2,,,,,,
Sum[15],Output,PIN_G15,7,B7_N2,PIN_AG4,,,,,,
Sum[14],Output,PIN_F15,7,B7_N2,PIN_AH4,,,,,,
Sum[13],Output,PIN_H17,7,B7_N2,PIN_AE5,,,,,,
Sum[12],Output,PIN_J16,7,B7_N2,PIN_Y10,,,,,,
Sum[11],Output,PIN_H16,7,B7_N2,PIN_AB11,,,,,,
Sum[10],Output,PIN_J15,7,B7_N2,PIN_AE8,,,,,,
Sum[9],Output,PIN_G17,7,B7_N1,PIN_AF11,,,,,,
Sum[8],Output,PIN_J17,7,B7_N2,PIN_Y6,,,,,,
Sum[7],Output,PIN_H19,7,B7_N2,PIN_AD4,,,,,,
Sum[6],Output,PIN_J19,7,B7_N2,PIN_AE6,,,,,,
Sum[5],Output,PIN_E18,7,B7_N1,PIN_W3,,,,,,
Sum[4],Output,PIN_F18,7,B7_N1,PIN_AF4,,,,,,
Sum[3],Output,PIN_F21,7,B7_N0,PIN_AD5,,,,,,
Sum[2],Output,PIN_E19,7,B7_N0,PIN_AE10,,,,,,
Sum[1],Output,PIN_F19,7,B7_N0,PIN_AF10,,,,,,
Sum[0],Output,PIN_G19,7,B7_N2,PIN_AF5,,,,,,
