# Copyright (C) 1991-2015 Altera Corporation. All rights reserved.
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, the Altera Quartus II License Agreement,
# the Altera MegaCore Function License Agreement, or other 
# applicable license agreement, including, without limitation, 
# that your use is for the sole purpose of programming logic 
# devices manufactured by Altera and sold by Altera or its 
# authorized distributors.  Please refer to the applicable 
# agreement for further details.

# Quartus II 64-Bit Version 15.0.0 Build 145 04/22/2015 SJ Web Edition
# File: C:\Users\Tippy\Documents\Lab 5\Lab 5 Altera Pin-Layout.csv
# Generated on: Tue Sep 20 09:16:23 2016

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
AhexL[6],Output,PIN_W28,5,B5_N1,PIN_B19,,,,,,
AhexL[5],Output,PIN_W27,5,B5_N1,PIN_C17,,,,,,
AhexL[4],Output,PIN_Y26,5,B5_N1,PIN_G21,,,,,,
AhexL[3],Output,PIN_W26,5,B5_N1,PIN_A18,,,,,,
AhexL[2],Output,PIN_Y25,5,B5_N1,PIN_B18,,,,,,
AhexL[1],Output,PIN_AA26,5,B5_N1,PIN_D17,,,,,,
AhexL[0],Output,PIN_AA25,5,B5_N1,PIN_A19,,,,,,
AhexU[6],Output,PIN_Y19,4,B4_N0,PIN_C20,,,,,,
AhexU[5],Output,PIN_AF23,4,B4_N0,PIN_C24,,,,,,
AhexU[4],Output,PIN_AD24,4,B4_N0,PIN_D24,,,,,,
AhexU[3],Output,PIN_AA21,4,B4_N0,PIN_B21,,,,,,
AhexU[2],Output,PIN_AB20,4,B4_N0,PIN_C21,,,,,,
AhexU[1],Output,PIN_U21,5,B5_N0,PIN_A22,,,,,,
AhexU[0],Output,PIN_V21,5,B5_N1,PIN_G25,,,,,,
Aval[7],Output,,,,PIN_F19,,,,,,
Aval[6],Output,,,,PIN_E19,,,,,,
Aval[5],Output,,,,PIN_D21,,,,,,
Aval[4],Output,,,,PIN_C22,,,,,,
Aval[3],Output,,,,PIN_C19,,,,,,
Aval[2],Output,,,,PIN_D19,,,,,,
Aval[1],Output,,,,PIN_G17,,,,,,
Aval[0],Output,,,,PIN_E25,,,,,,
BhexL[6],Output,PIN_H22,6,B6_N0,PIN_H17,,,,,,
BhexL[5],Output,PIN_J22,6,B6_N0,PIN_H16,,,,,,
BhexL[4],Output,PIN_L25,6,B6_N1,PIN_J16,,,,,,
BhexL[3],Output,PIN_L26,6,B6_N1,PIN_G16,,,,,,
BhexL[2],Output,PIN_E17,7,B7_N2,PIN_F17,,,,,,
BhexL[1],Output,PIN_F22,7,B7_N0,PIN_G15,,,,,,
BhexL[0],Output,PIN_G18,7,B7_N2,PIN_E17,,,,,,
BhexU[6],Output,PIN_U24,5,B5_N0,PIN_F22,,,,,,
BhexU[5],Output,PIN_U23,5,B5_N1,PIN_F21,,,,,,
BhexU[4],Output,PIN_W25,5,B5_N1,PIN_A23,,,,,,
BhexU[3],Output,PIN_W22,5,B5_N0,PIN_E21,,,,,,
